name,metric,cluster_num,value,n,network_id,clustering_id
infomap,Sample_block_num,Entire Graph,39,10000,1,1
infomap,Original_block_num,Entire Graph,39,10000,1,1
infomap,ANC,Entire Graph,1.0,10000,1,1
infomap,Scikit-learn NMI,Entire Graph,0.98600399072314848,10000,1,1
infomap,Adjusted Rand Score,Entire Graph,0.9843265101730805,10000,1,1
infomap,Lancichinetti NMI,Entire Graph,0.943825,10000,1,1
infomap,0.5_precision,Entire Graph,0.9924488645094625,10000,1,2
infomap,0.5_recall,Entire Graph,0.19653719679767565,10000,1,2
infomap,0.6_precision,Entire Graph,0.9924488645094625,10000,1,2
infomap,0.6_recall,Entire Graph,0.19653719679767565,10000,1,2
infomap,0.7_precision,Entire Graph,0.9924488645094625,10000,1,2
infomap,0.7_recall,Entire Graph,0.19653719679767565,10000,1,2
infomap,0.8_precision,Entire Graph,0.9924488645094625,10000,1,2
infomap,0.8_recall,Entire Graph,0.19653719679767565,10000,1,2
infomap,0.9_precision,Entire Graph,0.9924488645094625,10000,1,2
infomap,0.9_recall,Entire Graph,0.19653719679767565,10000,1,2
infomap,1.0_precision,Entire Graph,0.717948717948718,10000,1,2
infomap,1.0_recall,Entire Graph,0.13685779677458454,10000,1,2
infomap,NLS,Entire Graph,0.85747842691131737,10000,1,2
infomap,Block_size_median,Entire Graph,27.0,10000,1,2
infomap,Sample_block_num,Entire Graph,39,10000,1,2
infomap,Original_block_num,Entire Graph,39,10000,1,2
infomap,ANC,Entire Graph,1.0,10000,1,2
infomap,Scikit-learn NMI,Entire Graph,0.98600399072314848,10000,1,2
infomap,Adjusted Rand Score,Entire Graph,0.9843265101730805,10000,1,2
infomap,Lancichinetti NMI,Entire Graph,0.943825,10000,1,2
infomap,0.5_precision,Entire Graph,0.9796150459326042,10000,2,1
infomap,0.5_recall,Entire Graph,0.18830270217200878,10000,2,1
infomap,0.6_precision,Entire Graph,0.9796150459326042,10000,2,1
infomap,0.6_recall,Entire Graph,0.18830270217200878,10000,2,1
infomap,0.7_precision,Entire Graph,0.9796150459326042,10000,2,1
infomap,0.7_recall,Entire Graph,0.18830270217200878,10000,2,1
infomap,0.8_precision,Entire Graph,0.9796150459326042,10000,2,1
infomap,0.8_recall,Entire Graph,0.18830270217200878,10000,2,1
infomap,0.9_precision,Entire Graph,0.9500583956862987,10000,2,1
infomap,0.9_recall,Entire Graph,0.18542913895361798,10000,2,1
infomap,1.0_precision,Entire Graph,0.4827586206896552,10000,2,1
infomap,1.0_recall,Entire Graph,0.09426449693144849,10000,2,1
infomap,NLS,Entire Graph,0.88627440421874892,10000,2,1
infomap,Block_size_median,Entire Graph,42.0,10000,2,1
infomap,Sample_block_num,Entire Graph,29,10000,2,1
infomap,Original_block_num,Entire Graph,29,10000,2,1
infomap,ANC,Entire Graph,1.0,10000,2,1
infomap,Scikit-learn NMI,Entire Graph,0.98168162768280787,10000,2,1
infomap,Adjusted Rand Score,Entire Graph,0.9796331777269035,10000,2,1
infomap,Lancichinetti NMI,Entire Graph,0.94512,10000,2,1
infomap,0.5_precision,Entire Graph,0.9796150459326042,10000,2,2
infomap,0.5_recall,Entire Graph,0.18830270217200878,10000,2,2
infomap,0.6_precision,Entire Graph,0.9796150459326042,10000,2,2
infomap,0.6_recall,Entire Graph,0.18830270217200878,10000,2,2
infomap,0.7_precision,Entire Graph,0.9796150459326042,10000,2,2
infomap,0.7_recall,Entire Graph,0.18830270217200878,10000,2,2
infomap,0.8_precision,Entire Graph,0.9796150459326042,10000,2,2
infomap,0.8_recall,Entire Graph,0.18830270217200878,10000,2,2
infomap,0.9_precision,Entire Graph,0.9500583956862987,10000,2,2
infomap,0.9_recall,Entire Graph,0.18542913895361798,10000,2,2
infomap,1.0_precision,Entire Graph,0.4827586206896552,10000,2,2
infomap,1.0_recall,Entire Graph,0.09426449693144849,10000,2,2
infomap,NLS,Entire Graph,0.88627440421874892,10000,2,2
infomap,Block_size_median,Entire Graph,42.0,10000,2,2
infomap,Sample_block_num,Entire Graph,29,10000,2,2
infomap,Original_block_num,Entire Graph,29,10000,2,2
infomap,ANC,Entire Graph,1.0,10000,2,2
infomap,Scikit-learn NMI,Entire Graph,0.98168162768280787,10000,2,2
infomap,Adjusted Rand Score,Entire Graph,0.9796331777269035,10000,2,2
infomap,Lancichinetti NMI,Entire Graph,0.94512,10000,2,2
label_propagation,Modularity,Entire Graph,0.0000,10000,1,1
label_propagation,Coverage,Entire Graph,1.0000,10000,1,1
label_propagation,Conductance,Entire Graph,0.0,10000,1,1
label_propagation,Modularity,Entire Graph,0.0000,10000,1,2
label_propagation,Coverage,Entire Graph,1.0000,10000,1,2
label_propagation,Conductance,Entire Graph,0.0,10000,1,2
label_propagation,Modularity,Entire Graph,0.0000,10000,2,1
label_propagation,Coverage,Entire Graph,1.0000,10000,2,1
label_propagation,Conductance,Entire Graph,0.0,10000,2,1
label_propagation,Modularity,Entire Graph,0.0000,10000,2,2
label_propagation,Coverage,Entire Graph,1.0000,10000,2,2
label_propagation,Conductance,Entire Graph,0.0,10000,2,2
label_propagation,0.5_precision,Entire Graph,0.0,10000,1,1
label_propagation,0.5_recall,Entire Graph,0.0,10000,1,1
label_propagation,0.6_precision,Entire Graph,0.0,10000,1,1
label_propagation,0.6_recall,Entire Graph,0.0,10000,1,1
label_propagation,0.7_precision,Entire Graph,0.0,10000,1,1
label_propagation,0.7_recall,Entire Graph,0.0,10000,1,1
label_propagation,0.8_precision,Entire Graph,0.0,10000,1,1
label_propagation,0.8_recall,Entire Graph,0.0,10000,1,1
label_propagation,0.9_precision,Entire Graph,0.0,10000,1,1
label_propagation,0.9_recall,Entire Graph,0.0,10000,1,1
label_propagation,1.0_precision,Entire Graph,0.0,10000,1,1
label_propagation,1.0_recall,Entire Graph,0.0,10000,1,1
label_propagation,NLS,Entire Graph,0.87127504402606681,10000,1,1
label_propagation,Block_size_median,Entire Graph,2000.0,10000,1,1
label_propagation,Sample_block_num,Entire Graph,1,10000,1,1
label_propagation,Original_block_num,Entire Graph,39,10000,1,1
label_propagation,ANC,Entire Graph,0.02564102564102566,10000,1,1
label_propagation,Scikit-learn NMI,Entire Graph,5.5511151231257827e-07,10000,1,1
label_propagation,Adjusted Rand Score,Entire Graph,0.0,10000,1,1
label_propagation,Lancichinetti NMI,Entire Graph,0.0,10000,1,1
label_propagation,0.5_precision,Entire Graph,0.0,10000,1,2
label_propagation,0.5_recall,Entire Graph,0.0,10000,1,2
label_propagation,0.6_precision,Entire Graph,0.0,10000,1,2
label_propagation,0.6_recall,Entire Graph,0.0,10000,1,2
label_propagation,0.7_precision,Entire Graph,0.0,10000,1,2
label_propagation,0.7_recall,Entire Graph,0.0,10000,1,2
label_propagation,0.8_precision,Entire Graph,0.0,10000,1,2
label_propagation,0.8_recall,Entire Graph,0.0,10000,1,2
label_propagation,0.9_precision,Entire Graph,0.0,10000,1,2
label_propagation,0.9_recall,Entire Graph,0.0,10000,1,2
label_propagation,1.0_precision,Entire Graph,0.0,10000,1,2
label_propagation,1.0_recall,Entire Graph,0.0,10000,1,2
